open,high,low,close,volume,amount,position,bob,eob
3262.196,3284.922,3245.411,3284.921,33950941000,413395187748.5,0,2023-02-01 00:00:00+08:00,2023-02-01 00:00:00+08:00
3291.783,3295.764,3272.414,3285.67,33341313300,428662803430.2,0,2023-02-02 00:00:00+08:00,2023-02-02 00:00:00+08:00
3275.658,3275.658,3235.353,3263.406,29334281400,378648522965.3,0,2023-02-03 00:00:00+08:00,2023-02-03 00:00:00+08:00
3244.701,3250.351,3226.211,3238.698,26705310700,349127264894.7,0,2023-02-06 00:00:00+08:00,2023-02-06 00:00:00+08:00
3245.23,3250.033,3233.833,3248.094,25094645000,321257641942.9,0,2023-02-07 00:00:00+08:00,2023-02-07 00:00:00+08:00
3251.5,3257.114,3230.439,3232.106,23453048100,293332736125.8,0,2023-02-08 00:00:00+08:00,2023-02-08 00:00:00+08:00
3227.728,3270.383,3225.772,3270.383,25475452900,351760831733.2,0,2023-02-09 00:00:00+08:00,2023-02-09 00:00:00+08:00
3266.437,3269.994,3247.229,3260.673,26062692600,341749872023.9,0,2023-02-10 00:00:00+08:00,2023-02-10 00:00:00+08:00
3256.988,3285.091,3252.633,3284.16,29721318800,397011413405.7,0,2023-02-13 00:00:00+08:00,2023-02-13 00:00:00+08:00
3288.974,3293.734,3279.189,3293.282,27097416800,355558052442.5,0,2023-02-14 00:00:00+08:00,2023-02-14 00:00:00+08:00
3294.015,3296.199,3274.551,3280.492,26993912300,357621816130.5,0,2023-02-15 00:00:00+08:00,2023-02-15 00:00:00+08:00
3281.735,3308.828,3231.342,3249.03,38086354500,468382512227.4,0,2023-02-16 00:00:00+08:00,2023-02-16 00:00:00+08:00
3244.732,3262.473,3223.258,3224.024,27845123700,355625842542.7,0,2023-02-17 00:00:00+08:00,2023-02-17 00:00:00+08:00
3230.473,3291.039,3225.843,3290.338,32500773300,397720315305.1,0,2023-02-20 00:00:00+08:00,2023-02-20 00:00:00+08:00
3291.631,3308.791,3282.436,3306.524,32440944900,390691271556.0,0,2023-02-21 00:00:00+08:00,2023-02-21 00:00:00+08:00
3292.049,3307.034,3286.721,3291.148,25540398500,320515620001.0,0,2023-02-22 00:00:00+08:00,2023-02-22 00:00:00+08:00
3293.522,3307.438,3275.362,3287.477,26232430400,334364534378.0,0,2023-02-23 00:00:00+08:00,2023-02-23 00:00:00+08:00
3287.255,3288.392,3253.975,3267.16,23420630600,308004347731.0,0,2023-02-24 00:00:00+08:00,2023-02-24 00:00:00+08:00
3257.0,3276.579,3251.721,3258.034,24285534400,324605090924.8,0,2023-02-27 00:00:00+08:00,2023-02-27 00:00:00+08:00
3265.742,3280.415,3246.145,3279.605,25162503200,318030137286.4,0,2023-02-28 00:00:00+08:00,2023-02-28 00:00:00+08:00
3279.136,3315.16,3272.035,3312.348,31839870400,384387413830.3,0,2023-03-01 00:00:00+08:00,2023-03-01 00:00:00+08:00
3308.011,3320.744,3306.455,3310.654,32852001600,389390626878.8,0,2023-03-02 00:00:00+08:00,2023-03-02 00:00:00+08:00
3314.773,3330.604,3302.623,3328.393,34399691900,388860006704.9,0,2023-03-03 00:00:00+08:00,2023-03-03 00:00:00+08:00
3332.023,3333.062,3308.726,3322.026,34053044600,431616811145.0,0,2023-03-06 00:00:00+08:00,2023-03-06 00:00:00+08:00
3320.211,3342.858,3284.41,3285.099,38995795600,430081145229.0,0,2023-03-07 00:00:00+08:00,2023-03-07 00:00:00+08:00
3271.88,3283.248,3263.693,3283.248,26044354700,312822175700.7,0,2023-03-08 00:00:00+08:00,2023-03-08 00:00:00+08:00
3285.943,3289.06,3260.0,3276.094,26402185900,328825695492.5,0,2023-03-09 00:00:00+08:00,2023-03-09 00:00:00+08:00
3255.512,3262.147,3229.496,3230.077,28113541000,342198577588.1,0,2023-03-10 00:00:00+08:00,2023-03-10 00:00:00+08:00
3228.124,3268.696,3228.124,3268.696,29492808700,364414206512.0,0,2023-03-13 00:00:00+08:00,2023-03-13 00:00:00+08:00
3261.922,3262.002,3216.993,3245.312,31990603300,409976276120.9,0,2023-03-14 00:00:00+08:00,2023-03-14 00:00:00+08:00
3261.028,3273.123,3256.857,3263.315,30516879800,373276384409.5,0,2023-03-15 00:00:00+08:00,2023-03-15 00:00:00+08:00
3244.47,3257.433,3224.722,3226.891,32738963200,392910208396.7,0,2023-03-16 00:00:00+08:00,2023-03-16 00:00:00+08:00
3245.26,3279.923,3240.157,3250.546,34300102200,431983057736.5,0,2023-03-17 00:00:00+08:00,2023-03-17 00:00:00+08:00
3253.93,3267.993,3231.646,3234.91,39251739100,480292404943.9,0,2023-03-20 00:00:00+08:00,2023-03-20 00:00:00+08:00
3240.839,3256.0,3237.893,3255.65,30181077900,388047055874.8,0,2023-03-21 00:00:00+08:00,2023-03-21 00:00:00+08:00
3263.413,3279.394,3255.74,3265.748,29084046200,382509081309.4,0,2023-03-22 00:00:00+08:00,2023-03-22 00:00:00+08:00
3258.779,3286.649,3252.992,3286.649,30611839300,426564792579.1,0,2023-03-23 00:00:00+08:00,2023-03-23 00:00:00+08:00
3282.739,3282.739,3260.844,3265.654,32451333700,430761598863.2,0,2023-03-24 00:00:00+08:00,2023-03-24 00:00:00+08:00
3261.823,3261.823,3229.704,3251.397,33786120600,453585768740.5,0,2023-03-27 00:00:00+08:00,2023-03-27 00:00:00+08:00
3256.602,3264.098,3241.737,3245.376,29568266000,396882943367.8,0,2023-03-28 00:00:00+08:00,2023-03-28 00:00:00+08:00
3253.621,3254.556,3229.585,3240.057,29690050800,405542776865.4,0,2023-03-29 00:00:00+08:00,2023-03-29 00:00:00+08:00
3243.068,3263.738,3220.985,3261.249,29989829500,401634271105.2,0,2023-03-30 00:00:00+08:00,2023-03-30 00:00:00+08:00
3263.406,3278.423,3260.04,3272.86,28361374600,396689286254.0,0,2023-03-31 00:00:00+08:00,2023-03-31 00:00:00+08:00
3277.34,3299.732,3276.416,3296.396,35767677500,513390565537.0,0,2023-04-03 00:00:00+08:00,2023-04-03 00:00:00+08:00
3297.183,3312.562,3290.992,3312.558,38587161700,555811064016.0,0,2023-04-04 00:00:00+08:00,2023-04-04 00:00:00+08:00
3302.751,3314.526,3296.055,3312.628,32715542400,506500167165.2,0,2023-04-06 00:00:00+08:00,2023-04-06 00:00:00+08:00
3312.481,3328.845,3308.061,3327.646,28303224700,436372798925.8,0,2023-04-07 00:00:00+08:00,2023-04-07 00:00:00+08:00
3331.505,3332.715,3309.917,3315.358,34081984500,516434325402.1,0,2023-04-10 00:00:00+08:00,2023-04-10 00:00:00+08:00
3317.077,3317.448,3298.25,3313.571,32056605500,466895849254.6,0,2023-04-11 00:00:00+08:00,2023-04-11 00:00:00+08:00
3316.862,3330.708,3315.399,3327.182,34302531500,482066170134.8,0,2023-04-12 00:00:00+08:00,2023-04-12 00:00:00+08:00
3321.273,3334.47,3309.251,3318.364,34786210600,477587943379.6,0,2023-04-13 00:00:00+08:00,2023-04-13 00:00:00+08:00
3326.37,3340.076,3316.81,3338.153,33829927500,478345417461.3,0,2023-04-14 00:00:00+08:00,2023-04-14 00:00:00+08:00
3337.061,3385.61,3336.388,3385.61,40280992600,523790271022.3,0,2023-04-17 00:00:00+08:00,2023-04-17 00:00:00+08:00
3379.227,3396.175,3375.78,3393.331,34839948600,474287388944.2,0,2023-04-18 00:00:00+08:00,2023-04-18 00:00:00+08:00
3391.355,3394.959,3364.642,3370.128,34612344300,476496941017.2,0,2023-04-19 00:00:00+08:00,2023-04-19 00:00:00+08:00
3367.052,3371.368,3344.016,3367.031,35035496500,499672394215.6,0,2023-04-20 00:00:00+08:00,2023-04-20 00:00:00+08:00
3363.999,3367.609,3301.258,3301.258,38739509800,530517857771.7,0,2023-04-21 00:00:00+08:00,2023-04-21 00:00:00+08:00
3300.813,3303.091,3264.935,3275.413,35425562600,473265986268.8,0,2023-04-24 00:00:00+08:00,2023-04-24 00:00:00+08:00
3276.403,3288.569,3229.446,3264.872,38089572900,494240131388.3,0,2023-04-25 00:00:00+08:00,2023-04-25 00:00:00+08:00
3255.217,3277.98,3239.989,3264.101,35791784200,480418149402.8,0,2023-04-26 00:00:00+08:00,2023-04-26 00:00:00+08:00
3256.228,3299.301,3253.112,3285.885,34159053400,466175350420.4,0,2023-04-27 00:00:00+08:00,2023-04-27 00:00:00+08:00
3283.122,3324.881,3283.122,3323.275,40155478500,514904620687.7,0,2023-04-28 00:00:00+08:00,2023-04-28 00:00:00+08:00
3306.483,3352.746,3302.028,3350.459,48336491600,550494850346.7,0,2023-05-04 00:00:00+08:00,2023-05-04 00:00:00+08:00
3350.654,3364.142,3321.187,3334.503,43650449400,499294430532.0,0,2023-05-05 00:00:00+08:00,2023-05-05 00:00:00+08:00
3340.99,3400.177,3340.99,3395.004,53410365900,564661993453.0,0,2023-05-08 00:00:00+08:00,2023-05-08 00:00:00+08:00
3402.394,3418.953,3356.118,3357.671,57301330900,619108477501.3,0,2023-05-09 00:00:00+08:00,2023-05-09 00:00:00+08:00
3347.701,3349.721,3305.25,3319.151,45173973100,489553667296.5,0,2023-05-10 00:00:00+08:00,2023-05-10 00:00:00+08:00
3323.658,3333.25,3307.289,3309.551,35425827100,401313953404.3,0,2023-05-11 00:00:00+08:00,2023-05-11 00:00:00+08:00
3304.458,3319.131,3271.431,3272.362,34731498300,387081199285.3,0,2023-05-12 00:00:00+08:00,2023-05-12 00:00:00+08:00
3269.878,3310.737,3235.868,3310.737,38804588700,431706863269.3,0,2023-05-15 00:00:00+08:00,2023-05-15 00:00:00+08:00
3310.161,3317.901,3282.492,3290.987,32247941000,385386011202.3,0,2023-05-16 00:00:00+08:00,2023-05-16 00:00:00+08:00
3281.966,3298.519,3269.894,3284.232,28574405000,340482661497.5,0,2023-05-17 00:00:00+08:00,2023-05-17 00:00:00+08:00
3288.411,3313.862,3284.168,3297.32,30996747200,368435070988.2,0,2023-05-18 00:00:00+08:00,2023-05-18 00:00:00+08:00
3288.891,3302.342,3268.224,3283.542,28540406400,359507956518.1,0,2023-05-19 00:00:00+08:00,2023-05-19 00:00:00+08:00
3278.596,3308.532,3276.54,3296.469,27388999800,342448401630.5,0,2023-05-22 00:00:00+08:00,2023-05-22 00:00:00+08:00
3294.788,3298.226,3246.238,3246.238,27527908300,324667932872.9,0,2023-05-23 00:00:00+08:00,2023-05-23 00:00:00+08:00
3237.705,3237.705,3204.381,3204.75,28872025700,342677325734.6,0,2023-05-24 00:00:00+08:00,2023-05-24 00:00:00+08:00
3197.365,3207.021,3168.572,3201.26,28358892500,347709231730.5,0,2023-05-25 00:00:00+08:00,2023-05-25 00:00:00+08:00
3198.883,3220.774,3179.822,3212.504,26170047900,333319265973.1,0,2023-05-26 00:00:00+08:00,2023-05-26 00:00:00+08:00
3219.755,3230.971,3208.955,3221.448,29738948700,377875996064.0,0,2023-05-29 00:00:00+08:00,2023-05-29 00:00:00+08:00
3214.673,3230.632,3186.625,3224.213,30353246000,376622572865.1,0,2023-05-30 00:00:00+08:00,2023-05-30 00:00:00+08:00
3214.655,3216.36,3190.274,3204.564,29457333800,384999190216.0,0,2023-05-31 00:00:00+08:00,2023-05-31 00:00:00+08:00
3196.155,3225.093,3189.517,3204.635,31233075900,400981483177.6,0,2023-06-01 00:00:00+08:00,2023-06-01 00:00:00+08:00
3212.449,3233.992,3211.737,3230.069,29466709800,377507927729.1,0,2023-06-02 00:00:00+08:00,2023-06-02 00:00:00+08:00
3231.811,3244.18,3221.625,3232.441,27806020300,357810090574.8,0,2023-06-05 00:00:00+08:00,2023-06-05 00:00:00+08:00
3228.407,3247.349,3189.269,3195.34,30828587200,387492228835.7,0,2023-06-06 00:00:00+08:00,2023-06-06 00:00:00+08:00
3197.468,3210.33,3188.005,3197.759,25806340000,331083866651.7,0,2023-06-07 00:00:00+08:00,2023-06-07 00:00:00+08:00
3194.835,3225.526,3180.535,3213.585,29353074100,353551633155.6,0,2023-06-08 00:00:00+08:00,2023-06-08 00:00:00+08:00
