order_id,update_type,status,latency_ms
concurrent_client_1_order_6,TRADE,FILLED,57.13605880737305
concurrent_client_1_order_6,FILLED,FILLED,57.16586112976074
concurrent_client_1_order_7,NEW,NEW,45.88198661804199
concurrent_client_1_order_7,TRADE,FILLED,45.9132194519043
concurrent_client_1_order_7,FILLED,FILLED,45.9442138671875
concurrent_client_1_order_8,NEW,NEW,34.706830978393555
concurrent_client_1_order_8,TRADE,FILLED,34.74593162536621
concurrent_client_1_order_8,FILLED,FILLED,34.77787971496582
concurrent_client_1_order_9,NEW,NEW,22.397994995117188
concurrent_client_1_order_9,TRADE,FILLED,22.427082061767578
concurrent_client_1_order_9,FILLED,FILLED,22.45807647705078
concurrent_client_2_order_0,NEW,NEW,124.02892112731934
concurrent_client_2_order_0,TRADE,FILLED,124.06802177429199
concurrent_client_2_order_0,FILLED,FILLED,124.10497665405273
concurrent_client_2_order_1,NEW,NEW,113.03091049194336
concurrent_client_2_order_1,TRADE,FILLED,113.06405067443848
concurrent_client_2_order_1,FILLED,FILLED,113.09814453125
concurrent_client_2_order_2,NEW,NEW,101.96876525878906
concurrent_client_2_order_2,TRADE,FILLED,101.99785232543945
concurrent_client_2_order_2,FILLED,FILLED,102.02884674072266
concurrent_client_2_order_3,NEW,NEW,91.01104736328125
concurrent_client_2_order_3,TRADE,FILLED,91.04108810424805
concurrent_client_2_order_3,FILLED,FILLED,91.07303619384766
concurrent_client_2_order_4,NEW,NEW,80.04093170166016
concurrent_client_2_order_4,TRADE,FILLED,80.06978034973145
concurrent_client_2_order_4,FILLED,FILLED,80.10077476501465
concurrent_client_2_order_5,NEW,NEW,69.0770149230957
concurrent_client_2_order_5,TRADE,FILLED,69.11826133728027
concurrent_client_2_order_5,FILLED,FILLED,69.15020942687988
concurrent_client_2_order_6,NEW,NEW,58.13002586364746
concurrent_client_2_order_6,TRADE,FILLED,58.16006660461426
concurrent_client_2_order_6,FILLED,FILLED,58.19201469421387
concurrent_client_2_order_7,NEW,NEW,46.83208465576172
concurrent_client_2_order_7,TRADE,FILLED,46.862125396728516
concurrent_client_2_order_7,FILLED,FILLED,46.894073486328125
concurrent_client_2_order_8,NEW,NEW,35.73489189147949
