price,last_volume,created_at
3374.566,8707800,2025-05-13 10:14:48.038000+08:00
3374.196,9533300,2025-05-13 10:14:51.038000+08:00
3374.479,7596400,2025-05-13 10:14:54.038000+08:00
3374.368,7472600,2025-05-13 10:14:57.038000+08:00
3374.194,7412300,2025-05-13 10:15:00.038000+08:00
3374.488,8216500,2025-05-13 10:15:03.056000+08:00
3374.054,9994600,2025-05-13 10:15:06.038000+08:00
3374.363,10783200,2025-05-13 10:15:09.038000+08:00
3374.363,0,2025-05-13 10:15:11.092000+08:00
3374.267,20412200,2025-05-13 10:15:12.038000+08:00
3373.989,11056900,2025-05-13 10:15:15.038000+08:00
3374.221,9002000,2025-05-13 10:15:18.038000+08:00
3374.238,7471100,2025-05-13 10:15:21.038000+08:00
3374.507,8139800,2025-05-13 10:15:24.038000+08:00
3374.59,9810100,2025-05-13 10:15:27.038000+08:00
3374.484,7017300,2025-05-13 10:15:30.038000+08:00
3374.472,7821400,2025-05-13 10:15:33.038000+08:00
3374.528,8057000,2025-05-13 10:15:36.038000+08:00
3373.949,6813800,2025-05-13 10:15:39.038000+08:00
3373.949,0,2025-05-13 10:15:41.092000+08:00
3374.646,8207600,2025-05-13 10:15:42.038000+08:00
3374.595,6291600,2025-05-13 10:15:45.038000+08:00
3374.879,6713600,2025-05-13 10:15:48.038000+08:00
3374.271,7342400,2025-05-13 10:15:51.038000+08:00
3374.905,6177100,2025-05-13 10:15:54.038000+08:00
3374.558,7224400,2025-05-13 10:15:57.038000+08:00
3374.309,7619700,2025-05-13 10:16:00.038000+08:00
3374.757,8709400,2025-05-13 10:16:03.038000+08:00
3374.236,9517600,2025-05-13 10:16:06.038000+08:00
3374.454,9788100,2025-05-13 10:16:09.038000+08:00
3374.454,0,2025-05-13 10:16:11.090000+08:00
3374.592,7519500,2025-05-13 10:16:12.038000+08:00
3374.727,7279600,2025-05-13 10:16:15.038000+08:00
3375.1,7802300,2025-05-13 10:16:18.038000+08:00
3374.617,7031900,2025-05-13 10:16:21.038000+08:00
3374.738,7906900,2025-05-13 10:16:24.038000+08:00
3374.794,7658100,2025-05-13 10:16:27.038000+08:00
3375.049,6067100,2025-05-13 10:16:30.038000+08:00
3375.179,6223500,2025-05-13 10:16:33.038000+08:00
3374.449,5842700,2025-05-13 10:16:36.038000+08:00
3374.776,7498100,2025-05-13 10:16:39.058000+08:00
3374.776,0,2025-05-13 10:16:41.092000+08:00
3374.847,6572400,2025-05-13 10:16:42.038000+08:00
3374.897,6107800,2025-05-13 10:16:45.038000+08:00
3375.165,6329000,2025-05-13 10:16:48.038000+08:00
3375.19,8578400,2025-05-13 10:16:51.038000+08:00
3375.282,8378600,2025-05-13 10:16:54.038000+08:00
3375.314,6336100,2025-05-13 10:16:57.038000+08:00
3375.083,8382400,2025-05-13 10:17:00.038000+08:00
3374.877,11653800,2025-05-13 10:17:03.038000+08:00
3374.981,9832000,2025-05-13 10:17:06.038000+08:00
3374.857,8940400,2025-05-13 10:17:09.038000+08:00
3374.857,0,2025-05-13 10:17:11.091000+08:00
3375.185,8602100,2025-05-13 10:17:12.038000+08:00
3375.046,8795000,2025-05-13 10:17:15.038000+08:00
3375.094,8272100,2025-05-13 10:17:18.038000+08:00
3375.493,7026400,2025-05-13 10:17:21.038000+08:00
3375.044,7632500,2025-05-13 10:17:24.038000+08:00
3375.429,10083700,2025-05-13 10:17:27.038000+08:00
3375.103,7055800,2025-05-13 10:17:30.038000+08:00
3375.332,6569900,2025-05-13 10:17:33.038000+08:00
3375.588,8551600,2025-05-13 10:17:36.038000+08:00
3375.398,8297800,2025-05-13 10:17:39.058000+08:00
3375.398,0,2025-05-13 10:17:41.091000+08:00
3375.139,6446700,2025-05-13 10:17:42.038000+08:00
3375.453,6578900,2025-05-13 10:17:45.038000+08:00
3375.82,6668700,2025-05-13 10:17:48.038000+08:00
3375.513,9343200,2025-05-13 10:17:51.038000+08:00
3375.675,8878200,2025-05-13 10:17:54.038000+08:00
3375.849,7509300,2025-05-13 10:17:57.038000+08:00
3375.438,7267700,2025-05-13 10:18:00.038000+08:00
3376.1,7232200,2025-05-13 10:18:03.038000+08:00
3376.135,9314300,2025-05-13 10:18:06.038000+08:00
3376.075,7592100,2025-05-13 10:18:09.038000+08:00
3376.075,0,2025-05-13 10:18:11.092000+08:00
3375.828,9736100,2025-05-13 10:18:12.038000+08:00
3375.821,11446700,2025-05-13 10:18:15.038000+08:00
3376.059,13119400,2025-05-13 10:18:18.043000+08:00
3376.099,10978900,2025-05-13 10:18:21.054000+08:00
3376.115,7448100,2025-05-13 10:18:24.038000+08:00
3376.052,8384100,2025-05-13 10:18:27.038000+08:00
3376.02,11069700,2025-05-13 10:18:30.038000+08:00
3376.56,8440200,2025-05-13 10:18:33.038000+08:00
3376.539,9051700,2025-05-13 10:18:36.038000+08:00
3376.683,8482200,2025-05-13 10:18:39.038000+08:00
3376.683,0,2025-05-13 10:18:41.091000+08:00
3376.801,9676300,2025-05-13 10:18:42.038000+08:00
3376.95,7184700,2025-05-13 10:18:45.038000+08:00
3376.83,6853500,2025-05-13 10:18:48.060000+08:00
3376.388,9574100,2025-05-13 10:18:51.067000+08:00
3376.113,10501600,2025-05-13 10:18:54.038000+08:00
3376.225,9985600,2025-05-13 10:18:57.038000+08:00
3375.523,10699700,2025-05-13 10:19:00.058000+08:00
3376.216,13540500,2025-05-13 10:19:03.038000+08:00
3376.074,12641700,2025-05-13 10:19:06.090000+08:00
3376.297,14921500,2025-05-13 10:19:09.075000+08:00
3376.297,0,2025-05-13 10:19:11.092000+08:00
3376.448,13671700,2025-05-13 10:19:12.082000+08:00
3376.513,13691900,2025-05-13 10:19:15.038000+08:00
3376.406,9213900,2025-05-13 10:19:18.038000+08:00
3376.37,8877100,2025-05-13 10:19:21.100000+08:00
3376.886,9566100,2025-05-13 10:19:24.038000+08:00
3376.393,8175000,2025-05-13 10:19:27.038000+08:00
3376.944,7441700,2025-05-13 10:19:30.038000+08:00
3376.954,7082200,2025-05-13 10:19:33.066000+08:00
3376.87,8654900,2025-05-13 10:19:36.066000+08:00
3377.01,6360000,2025-05-13 10:19:39.038000+08:00
3377.01,0,2025-05-13 10:19:41.092000+08:00
3377.134,8270900,2025-05-13 10:19:42.076000+08:00
3376.898,12078600,2025-05-13 10:19:45.038000+08:00
3376.953,7906600,2025-05-13 10:19:48.038000+08:00
3377.371,9352100,2025-05-13 10:19:51.090000+08:00
3377.222,8286300,2025-05-13 10:19:54.038000+08:00
3377.292,9905700,2025-05-13 10:19:57.038000+08:00
3377.332,6830200,2025-05-13 10:20:00.045000+08:00
3376.971,10030800,2025-05-13 10:20:03.096000+08:00
3376.085,11302500,2025-05-13 10:20:06.093000+08:00
3376.184,13051400,2025-05-13 10:20:09.103000+08:00
3376.184,0,2025-05-13 10:20:11.092000+08:00
3376.197,9429300,2025-05-13 10:20:12.038000+08:00
3376.063,8752800,2025-05-13 10:20:15.122000+08:00
3376.322,7912300,2025-05-13 10:20:18.038000+08:00
3376.977,8970000,2025-05-13 10:20:21.038000+08:00
3376.975,8256600,2025-05-13 10:20:24.038000+08:00
3376.423,7879800,2025-05-13 10:20:27.038000+08:00
3376.691,7851100,2025-05-13 10:20:30.066000+08:00
3376.914,7108500,2025-05-13 10:20:33.038000+08:00
3377.085,7279600,2025-05-13 10:20:36.080000+08:00
3377.087,6438700,2025-05-13 10:20:39.084000+08:00
3377.087,0,2025-05-13 10:20:41.097000+08:00
3376.674,6154300,2025-05-13 10:20:42.038000+08:00
3376.867,6547300,2025-05-13 10:20:45.038000+08:00
3376.782,9109000,2025-05-13 10:20:48.038000+08:00
3376.865,7398100,2025-05-13 10:20:51.038000+08:00
3377.227,7727400,2025-05-13 10:20:54.038000+08:00
3377.446,7966300,2025-05-13 10:20:57.040000+08:00
3377.175,10763500,2025-05-13 10:21:00.038000+08:00
3377.475,9660000,2025-05-13 10:21:03.038000+08:00
3377.313,7446400,2025-05-13 10:21:06.038000+08:00
3377.317,6371800,2025-05-13 10:21:09.038000+08:00
3377.317,0,2025-05-13 10:21:11.126000+08:00
3377.587,8908600,2025-05-13 10:21:12.125000+08:00
3377.285,7558600,2025-05-13 10:21:15.038000+08:00
3377.095,7679300,2025-05-13 10:21:18.038000+08:00
3377.475,6890300,2025-05-13 10:21:21.038000+08:00
3377.207,7020500,2025-05-13 10:21:24.038000+08:00
3377.222,7153500,2025-05-13 10:21:27.038000+08:00
3377.5,5924200,2025-05-13 10:21:30.038000+08:00
3377.503,7732100,2025-05-13 10:21:33.038000+08:00
3377.402,7324600,2025-05-13 10:21:36.038000+08:00
3377.569,7249200,2025-05-13 10:21:39.038000+08:00
3377.569,0,2025-05-13 10:21:41.092000+08:00
3377.702,7728800,2025-05-13 10:21:42.038000+08:00
3377.543,8268400,2025-05-13 10:21:45.038000+08:00
3377.343,7050600,2025-05-13 10:21:48.047000+08:00
3377.564,5700500,2025-05-13 10:21:51.038000+08:00
3378.028,6285400,2025-05-13 10:21:54.038000+08:00
3377.797,6544900,2025-05-13 10:21:57.038000+08:00
3377.959,5958800,2025-05-13 10:22:00.038000+08:00
3377.946,6758700,2025-05-13 10:22:03.038000+08:00
3377.517,7599100,2025-05-13 10:22:06.038000+08:00
3377.336,6509100,2025-05-13 10:22:09.038000+08:00
3377.336,0,2025-05-13 10:22:11.092000+08:00
3377.666,6903800,2025-05-13 10:22:12.038000+08:00
3377.438,7400600,2025-05-13 10:22:15.038000+08:00
3377.833,6015500,2025-05-13 10:22:18.058000+08:00
3377.366,9141700,2025-05-13 10:22:21.054000+08:00
3377.53,8552800,2025-05-13 10:22:24.038000+08:00
3377.856,6115800,2025-05-13 10:22:27.038000+08:00
3377.671,9733700,2025-05-13 10:22:30.038000+08:00
3377.856,7562700,2025-05-13 10:22:33.038000+08:00
3378.083,6832600,2025-05-13 10:22:36.042000+08:00
3378.027,8034300,2025-05-13 10:22:39.042000+08:00
3378.027,0,2025-05-13 10:22:41.091000+08:00
3377.777,6682300,2025-05-13 10:22:42.072000+08:00
3377.143,9151300,2025-05-13 10:22:45.038000+08:00
3377.474,8411100,2025-05-13 10:22:48.038000+08:00
3377.341,8898500,2025-05-13 10:22:51.093000+08:00
3377.411,6661200,2025-05-13 10:22:54.038000+08:00
3377.753,7224400,2025-05-13 10:22:57.038000+08:00
3377.178,5901300,2025-05-13 10:23:00.041000+08:00
3377.697,6961000,2025-05-13 10:23:03.038000+08:00
3377.853,8213900,2025-05-13 10:23:06.061000+08:00
3377.944,8619700,2025-05-13 10:23:09.038000+08:00
3377.944,0,2025-05-13 10:23:11.091000+08:00
3377.552,7967900,2025-05-13 10:23:12.038000+08:00
